=== UALBF Engine Trace Log: Run Started at Fri Mar 20 22:12:17 2026 ===
   Compiling ualbf_engine v0.1.0 (/Volumes/ExternalSSD/code/quasipolynomials/ualbf-project/rust-engine)
    Finished `release` profile [optimized] target(s) in 1.95s
     Running `target/release/ualbf_engine`
=== UALBF Engine Initializing ===
Target Bound: N > 10^50
PROGRESS|PHASE|1|Legendre-Cattaneo Sieve
PROGRESS|UPDATE|45000|659599|Processed 45000 prefixes...
PROGRESS|UPDATE|46000|673761|Processed 46000 prefixes...
PROGRESS|UPDATE|47000|688862|Processed 47000 prefixes...
PROGRESS|UPDATE|48000|707914|Processed 48000 prefixes...
PROGRESS|UPDATE|49000|723668|Processed 49000 prefixes...
PROGRESS|UPDATE|50000|742332|Processed 50000 prefixes...
PROGRESS|UPDATE|51000|762642|Processed 51000 prefixes...
PROGRESS|UPDATE|52000|778640|Processed 52000 prefixes...
PROGRESS|UPDATE|53000|797309|Processed 53000 prefixes...
PROGRESS|UPDATE|54000|816156|Processed 54000 prefixes...
PROGRESS|UPDATE|55000|836862|Processed 55000 prefixes...
PROGRESS|UPDATE|56000|856903|Processed 56000 prefixes...
PROGRESS|UPDATE|57000|875809|Processed 57000 prefixes...
PROGRESS|UPDATE|58000|893558|Processed 58000 prefixes...
PROGRESS|UPDATE|59000|915095|Processed 59000 prefixes...
PROGRESS|UPDATE|60000|933584|Processed 60000 prefixes...
PROGRESS|UPDATE|61000|950429|Processed 61000 prefixes...
PROGRESS|UPDATE|62000|971728|Processed 62000 prefixes...
PROGRESS|UPDATE|63000|991490|Processed 63000 prefixes...
PROGRESS|UPDATE|64000|1010309|Processed 64000 prefixes...
PROGRESS|UPDATE|65000|1029672|Processed 65000 prefixes...
PROGRESS|UPDATE|66000|1050325|Processed 66000 prefixes...
PROGRESS|UPDATE|67000|1069512|Processed 67000 prefixes...
PROGRESS|UPDATE|68000|1087947|Processed 68000 prefixes...
PROGRESS|UPDATE|69000|1105776|Processed 69000 prefixes...
PROGRESS|UPDATE|70000|1122698|Processed 70000 prefixes...
PROGRESS|UPDATE|71000|1141120|Processed 71000 prefixes...
PROGRESS|UPDATE|72000|1159812|Processed 72000 prefixes...
PROGRESS|UPDATE|73000|1177788|Processed 73000 prefixes...
PROGRESS|UPDATE|74000|1195189|Processed 74000 prefixes...
PROGRESS|UPDATE|75000|1211987|Processed 75000 prefixes...
PROGRESS|UPDATE|76000|1228934|Processed 76000 prefixes...
PROGRESS|UPDATE|77000|1248102|Processed 77000 prefixes...
PROGRESS|UPDATE|78000|1264437|Processed 78000 prefixes...
